date,baseline,trend,seasonality,contribution_tv,contribution_search,contribution_social,contribution_display,noise
2024-01-01,200000.0,0.0,18700.324853708295,21138.03519928989,32068.402978458915,6432.68094251342,5965.422328256359,1883.453697773104
2024-01-08,200000.0,291.2621359223301,17709.1205130642,37685.899858912606,32897.49877921912,8130.209491658201,6451.417734019489,-5000.208512795914
2024-01-15,200000.0,582.5242718446602,16459.677317873127,43593.60564217129,32692.520053695924,10497.256473785981,9072.926115614384,-9537.409874985402
2024-01-22,200000.0,873.7864077669902,14970.214963422015,50740.01475091484,32691.843045032307,10113.833688488912,9964.845638112145,-12437.898493737215
2024-01-29,200000.0,1165.0485436893205,13262.453164815906,54015.200039363175,31750.443728977676,10727.064435658503,9252.6390941422,-6704.309006646799
2024-02-05,200000.0,1456.3106796116506,11361.294934623096,41793.57331365511,30553.363372272164,10546.161786206025,8723.78507770148,-2752.0491640695254
2024-02-12,200000.0,1747.5728155339805,9294.46344087536,29226.92058074452,32043.27144523427,12407.344272313758,9276.063308640716,-1759.1458633426228
2024-02-19,200000.0,2038.8349514563106,7092.0977408507115,18599.390388338717,31333.510001452967,11401.471751311457,10591.802298842025,11623.382867747801
2024-02-26,200000.0,2330.097087378641,4786.313285751147,9476.811029142287,32009.410143884652,10848.636607139539,10863.333922698499,6635.957924005226
2024-03-04,200000.0,2621.359223300971,2410.733605106464,4124.356611674479,33633.398488578765,11915.731824709363,8228.9506980857,-5772.550451455725
2024-03-11,200000.0,2912.621359223301,-3.67394039744206e-12,1547.9710868925836,31586.836509584005,14035.093782745746,7797.8285230389465,2086.2487385154236
2024-03-18,200000.0,3203.883495145631,-2410.7336051064717,304.77855360681326,30650.529674455043,14800.185619800808,7921.58503992308,-2442.4687778248917
2024-03-25,200000.0,3495.145631067961,-4786.313285751155,13191.557555100637,31457.554027409056,14943.04027730439,8015.787468619562,-1706.1816737503977
2024-04-01,200000.0,3786.4077669902913,-7092.097740850718,26669.832692267955,31583.020193529253,15586.13150295411,9336.435412582434,1111.9501725266455
2024-04-08,200000.0,4077.669902912621,-9294.463440875383,37824.13199505141,32947.85975582666,16054.062252916829,9129.8746474712,3715.0248866965994
2024-04-15,200000.0,4368.9320388349515,-11361.294934623118,43059.79087014164,32709.900790876305,15425.004941037108,7484.102631991597,-2035.5463382584858
2024-04-22,200000.0,4660.194174757282,-13262.453164815905,46920.696387871016,33466.82891103708,14763.958369515816,8437.619970853611,6383.105350781116
2024-04-29,200000.0,4951.456310679611,-14970.214963422026,34192.062613211834,33137.026475751605,16022.218227475867,9269.861021485094,-6851.62968518195
2024-05-06,200000.0,5242.718446601942,-16459.67731787313,22561.35657066284,32183.998476105422,16382.818822435413,7791.64856656302,38.03643550456036
2024-05-13,200000.0,5533.980582524272,-17709.1205130642,13703.411205375145,33518.75171609072,15859.71262352145,3213.539462113679,15586.044923438953
2024-05-20,200000.0,5825.242718446602,-18700.324853708298,6844.403767413119,31310.775128005065,14933.769498792763,5766.734859324957,1338.4788817257795
2024-05-27,200000.0,6116.504854368932,-19418.836348521043,3001.3556765234125,30471.712228621476,16793.59443021062,10095.150463058219,8599.288695738389
2024-06-03,200000.0,6407.766990291262,-19854.17748196108,1006.8902948838484,30667.9626943142,16187.11409672619,8117.8153868216705,549.1180189239094
2024-06-10,200000.0,6699.0291262135925,-20000.0,213.60010016658384,33078.21830296841,18189.38028383177,10250.762018110227,3484.660168709408
2024-06-17,200000.0,6990.291262135922,-19854.17748196108,15407.557312341489,32381.41439245768,17022.65653620904,10905.47866380261,-340.7006849856116
2024-06-24,200000.0,7281.553398058252,-19418.83634852104,27648.31520216495,31157.722609549848,16293.891350358128,11273.564365615219,-1022.4405772253522
2024-07-01,200000.0,7572.815533980583,-18700.324853708295,39212.10585334525,32335.65820511301,18462.254834237567,10941.499751262418,-4676.899324230559
2024-07-08,200000.0,7864.077669902913,-17709.12051306419,44885.42029815093,31116.719554591593,17302.021212229534,10776.971825770106,2581.809952419135
2024-07-15,200000.0,8155.339805825242,-16459.677317873127,32171.93153901982,33026.2343106709,17054.898555930005,10339.725142963709,-5109.22203653655
2024-07-22,200000.0,8446.601941747573,-14970.214963422024,20914.649180016266,32318.505651158815,18520.570393981227,10596.475929136148,3993.5118673819816
2024-07-29,200000.0,8737.864077669903,-13262.4531648159,12561.832504026806,32003.342055831698,20077.31485878789,8491.381383108583,6511.718285390991
